,Case Number,Date,Type,Country,Area,Activity,Injury,Fatal (Y/N)
3044,1974.04.14,14-Apr-74,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Standing,Lower right leg lacerated,N
3045,1974.04.12,12-Apr-74,Unprovoked,USA,Florida,Swimming,Foot bitten,N
3046,1974.04.04,04-Apr-74,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,Right foot lacerated,N
3047,1974.03.21,21-Mar-74,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,"No injury, surfboard bitten",N
3048,1974.03.00,Mar-74,Boat,SOUTH AFRICA,Western Cape Province,Fishing for kob,"No injury to occupant, shark holed boat",N
3049,1974.02.13.b,13-Feb-74,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,"Right calf removed, leg surgically amputated below the knee",N
3050,1974.02.13.a,13-Feb-74,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,Right shin lacerated,N
3051,1974.02.00.b,Feb-74,Boat,SOUTH AFRICA,Western Cape Province,Fishing for red fish,"No injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline",N
3052,1974.02.00.a,Early Feb-1974,Boat,SOUTH AFRICA,Western Cape Province,Fishing for kob,"No injury,  shark leapt into boat & bit one of the boat's seats",N
3053,1974.01.13,13-Jan-74,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sitting,2 minor lacerations in foot,N
3054,1974.01.09,09-Jan-74,Unprovoked,AUSTRALIA,South Australia,Diving for abalone,"FATAL, right leg severed  ",Y
3055,1974.01.07.c,07-Jan-74,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,Knee & calf lacerated,N
3056,1974.01.07.b,07-Jan-74,Unprovoked,MOZAMBIQUE,Gaza,Swimming,FATAL,Y
3057,1974.01.07.a,07-Jan-74,Unprovoked,MOZAMBIQUE,Gaza,Swimming,FATAL,Y
3058,1974.00.00.b,Summer 1974,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,8 to 10 puncture marks around knee,N
3059,1974.00.00.a,1974,Unprovoked,CROATIA,Primorje-Gorski Kotar County ,,FATAL,Y
3060,1973.12.25,25-Dec-73,Unprovoked,MOZAMBIQUE,Gaza,Spearfishing,"Right leg severed at knee, abrasion on left ankle",N
3061,1973.12.21.b,21-Dec-73,Unprovoked,MOZAMBIQUE,Gaza,Swimming ,FATAL,Y
3062,1973.12.19.R,Reported 18-Dec-1973,Unprovoked,PHILIPPINES,Luzon,Swimming,FATAL,Y
3063,1973.12.18,18-Dec-73,Unprovoked,USA,Hawaii,Swimming,Leg bitten,N
3064,1973.12.00,Dec-73,Unprovoked,MEXICO,Guerrero,Swimming alongside yacht Mexico Fiesta,FATAL,Y
3065,1973.11.25,25-Nov-73,Unprovoked,AUSTRALIA,Western Australia,,Survived,N
3066,1973.11.24,24-Nov-73,Unprovoked,USA,Florida,Surfing,Foot bitten,N
3067,1973.11.03,03-Nov-73,Unprovoked,AUSTRALIA,Queensland,,Knee lacerated,N
3068,1973.09.29,29-Sep-73,Sea Disaster,SOUTH AFRICA,KwaZulu-Natal,Being pulled to shore from wreck of 25-ton fishing vessel Alan S,"FATAL, thigh bitten ",Y
3069,1973.09.14,14-Sep-73,Unprovoked,BAHAMAS,Grand Bahama Island,"Free diving, Spearfishing",Left hand & forearm lacerated,N
3070,1973.09.10.R,Reported 10-Sep-1973,Unprovoked,HONG KONG,Mirs Bay ,Freedom Swimming,FATAL,Y
3071,1973.09.09,09-Sep-73,Unprovoked,MEXICO,Baja California,"Free diving, Spearfishing","FATAL, leg bitten ",Y
3072,1973.09.00,Sep-73,Unprovoked,EGYPT,Red Sea,,Massive wound on right thigh with femur exposed,N
3073,1973.08.27,27-Aug-73,Unprovoked,AUSTRALIA,Queensland,,,UNKNOWN
3074,1973.08.25,25-Aug-73,Unprovoked,AUSTRALIA,Queensland,Surfing,Right foot severed,N
3075,1973.08.16,16-Aug-73,Unprovoked,USA,Virginia,Crabbing (spearing crabs),Elbow bitten,N
3076,1973.06.13,13-Jun-73,Unprovoked,HONG KONG,,Freedom Swimming,"One man was killed by a shark, the other was injured",N
3077,1973.04.04,04-Apr-73,Unprovoked,MEXICO,Guerrero,Wading,"FATAL, multiple bites ",Y
3078,1973.03.26,26-Mar-73,Unprovoked,AUSTRALIA,Queensland,,Survived,N
3079,1973.03.05,05-Mar-73,Unprovoked,MOZAMBIQUE,Gaza,Spearfishing,FATAL,Y
3080,1973.03.00,Mar-73,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,Hip bruised,N
3081,1973.02.27,27-Feb-73,Unprovoked,MEXICO,Guerrero,Swimming,"FATAL, multiple bites ",Y
3082,1973.01.21,21-Jan-73,Provoked,SOUTH AFRICA,KwaZulu-Natal,Fishing from paddleski,Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT,N
3083,1973.01.09,09-Jan-73,Unprovoked,USA,Hawaii,Surfing,Leg bitten,N
3084,1973.00.00.c,1973,Unprovoked,PALAU,Aulong Island,Scuba diving (submerged),"No injury, shark grabbed scuba tank and descended to 110' before releasing him ",N
3085,1973.00.00.b,1973,Unprovoked,PALAU,Western Caroline Islands,Scuba diving & U/W photography,Hand & right shoulder lacerated,N
3086,1973.00.00.a,1973,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,"No injury, surboard flung into air & dented",N
3087,1972.12.31,31-Dec-72,Unprovoked,SOUTH AFRICA,Western Cape Province,Treading water,Lower left leg & foot bitten,N
3088,1972.12.26,26-Dec-72,Unprovoked,MOZAMBIQUE,Gaza,Swimming,"Hip, leg, arm, hand & shoulder bitten",N
3089,1972.12.25,25-Dec-72,Unprovoked,MEXICO,Guerrero,Body surfing,"FATAL, hand severed, right leg and torso bitten ",Y
3090,1972.12.24,24-Dec-72,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,"No injury, swim fin bitten",N
3091,1972.12.22,21-Dec-72,Unprovoked,AUSTRALIA,Queensland,,Hand bitten,N
3092,1972.12.08,08-Dec-72,Provoked,AUSTRALIA,New South Wales,,PROVOKED INCIDENT,N
3093,1972.12.01,01-Dec-72,Unprovoked,REUNION,Saint-Philippe,Spearfishing,FATAL,Y
3094,1972.10.22,21-Oct-72,Unprovoked,AUSTRALIA,Queensland,Spearfishing,Right arm bitten,N
3095,1972.10.21,21-Oct-72,Unprovoked,AUSTRALIA,New South Wales,Surfing,Lacerations to thigh & buttocks,N
3096,1972.10.14.b,14-Oct-72,Unprovoked,USA,US Virgin Islands,Scuba diving,"FATAL, body not recovered",Y
3097,1972.10.14.a,14-Oct-72,Unprovoked,USA,Florida,Surfing,Survived,N
3098,1972.10.10.R,Reported 10-Oct-1972,Unprovoked,NEW ZEALAND,North Island,Swimming,"No injury, leg of jeans torn off",N
3099,1972.09.09,09-Sep-72,Unprovoked,USA,California,Surfing,Legs & board bitten,N
3100,1972.09.04,04-Sep-72,Invalid,MOZAMBIQUE,Maputo Province,Swimming,Feet injured,N
3101,1972.08.29,29-Aug-72,Unprovoked,USA,Florida,Surfing,Left calf bitten,N
3102,1972.08.17,17-Aug-72,Unprovoked,USA,Hawaii,Spearfishing,Forearm bitten,N
3103,1972.08.08,08-Aug-72,Unprovoked,AUSTRALIA,Tasmania,Diving for abalone,Left foot bitten,N
3104,1972.07.05,05-Jul-72,Invalid,USA,California,Diving,Sharks reportedly bit legs & fins ,N
3105,1972.06.26.b,Reported 26-Jun-1972,Unprovoked,AUSTRALIA,Queensland,,FATAL,Y
3106,1972.06.26.a,Reported 26-Jun-1972,Unprovoked,AUSTRALIA,Queensland,,FATAL,Y
3107,1972.06.10,10-Jun-72,Unprovoked,USA,Florida,Surfing,Buttocks bitten,N
3108,1972.05.28,28-May-72,Unprovoked,USA,California,Free diving for abalone,Bitten on legs & buttock,N
3109,1972.05.06,06-May-72,Unprovoked,FRENCH POLYNESIA,Tuamotus,Spearfishing,Thigh bitten,N
3110,1972.04.16,16-Apr-72,Unprovoked,WESTERN SAMOA,Upolu Island,Swimming,FATAL,Y
3111,1972.04.01.b,01-Apr-72,Unprovoked,AUSTRALIA,Queensland,,Left leg bitten,N
3112,1972.04.01.a,01-Apr-72,Unprovoked,MOZAMBIQUE,Gaza,Swimming,FATAL,Y
3113,1972.03.21,21-Mar-72,Provoked,PACIFIC OCEAN ,,Fishing,Arm bitten by hooked shark PROVOKED INCIDENT,N
3114,1972.03.16,16-Mar-72,Unprovoked,USA,Hawaii,Spearfishing,Leg bitten,N
3115,1972.02.20,20-Feb-72,Unprovoked,AUSTRALIA,Victoria,Surfing,Laceration above knee,N
3116,1972.02.12,12-Feb-72,Unprovoked,AUSTRALIA,Tasmania,,Survived,N
3117,1972.01.01.c,01-Jan-72,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""",Y
3118,1972.01.01.b,01-Jan-71,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sitting in shallows,Foot bitten,N
3119,1972.01.01.a,01-Jan-71,Unprovoked,MOZAMBIQUE,Gaza,Standing,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",N
3120,1972.00.00.b,1972,Unprovoked,FRANCE,Antibes,Swimming,Shoulder injured,N
3121,1972.00.00.a,1972,Unprovoked,MARSHALL ISLANDS,Illeginni Atoll,"Free diving, collecting shells",Right hand & torso lacerated,N
3122,1971.12.23,23-Dec-71,Unprovoked,AUSTRALIA,New South Wales,,Survived,N
3123,1971.12.16,16-Dec-71,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,Right forearm bitten,N
3124,1971.12.05,05-Dec-71,Unprovoked,AUSTRALIA,Queensland,,FATAL,Y
3125,1971.11.27,Reported 25-Nov-1971,Unprovoked,HONG KONG,Mirs Bay ,Freedom Swimming,"Left leg severely bitten, surgically amputated",N
3126,1971.11.25.R,27-Oct-71,Provoked,AUSTRALIA,New South Wales,,PROVOKED INCIDENT,N
3127,1971.10.23,23-Oct-71,Unprovoked,USA,Florida,Surfing,"Right shoulder, arm & hand bitten",N
3128,1971.10.14,14-Oct-71,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,Wrist & hand lacerated,N
3129,1971.10.02,02-Oct-71,Unprovoked,USA,California,Scuba diving,Bitten on legs,N
3130,1971.09.25,25-Sep-71,Unprovoked,USA,North Carolina,Surfing,Left foot injured,N
3131,1971.09.07,07-Sep-71,Unprovoked,CROATIA,Istria County,Swimming,FATAL,Y
3132,1971.09.05,05-Sep-71,Unprovoked,AUSTRALIA,South Australia,Fishing," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Y
3133,1971.08.21,21-Aug-71,Provoked,AUSTRALIA,New South Wales,Scuba diving & feeding fish,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,N
3134,1971.07.26,26-Jul-71,Unprovoked,USA,Florida,Wading,Laceration to left ankle,N
3135,1971.07.19,19-Jul-71,Unprovoked,USA,California,Hookah diving (submerged),"Major injuries to head, buttocks & back",N
3136,1971.06.30,30-Jun-71,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Leg & surfboard bitten,N
3137,1971.06.01,01-Jun-71,Unprovoked,BRITISH ISLES,South Devon,Scuba diving,"No injury, said to have been attacked by shark but drove it away with a lobster hook",N
3138,1971.04.16R,Reported 16-Apr-1971,Unprovoked,KENYA,Coast Province,Swimming,Right foot bitten,N
3139,1971.04.11,11-Apr-71,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,"FATAL, multiple bites ",Y
3140,1971.04.06,06-Apr-71,Unprovoked,MEXICO,Guerrero,Surfing,"FATAL, left thigh bitten ",Y
3141,1971.04.05.b,05-Apr-71,Unprovoked,VENEZUELA,,,"FATAL, body not recovered",Y
3142,1971.04.05.a,05-Apr-71,Unprovoked,VENEZUELA,,,"FATAL, body not recovered",Y
3143,1971.04.00,Late Apr-1971,Sea Disaster,MOZAMBIQUE,Between Beira & Maputo,Wreck of the 1689-ton Portuguese  coaster Angoche,"FATAL, it was  thought  the surviving crew  were taken by sharks",Y
3144,1971.03.30,30-Mar-71,Unprovoked,NEW ZEALAND,South Island,Surfing,Lacerations to left leg ,N
3145,1971.01.02,02-Jan-71,Unprovoked,AUSTRALIA,Tasmania,Swimming,Torso lacerated,N
3146,1971.00.00.c,1971,Unprovoked,AUSTRALIA,South Australia,Surfing,Severe lacerations to thigh,N
3147,1971.00.00.b,1971,Unprovoked,IRAN,Khuzestan Province,,Survived,N
3148,1971.00.00.a,1971,Unprovoked,IRAN,Khuzestan Province,,Survived,N
3149,1970.12.17,17-Dec-70,Unprovoked,MOZAMBIQUE,Inhambe Province,Fishing for prawns,"FATAL, arm severed  ",Y
3150,1970.12.13,13-Dec-70,Unprovoked,MOZAMBIQUE,Inhambe Province,Fishing for prawns,"FATAL, decapitated and arm severed",Y
3151,1970.12.07,07-Dec-70,Unprovoked,MICRONESIA,Namonuito Atoll,Fishing,Laceration to thigh,N
3152,1970.12.03,03-Dec-70,Sea Disaster,USA,Hawaii,Shipwreck,Right thigh lacerated,N
3153,1970.11.00,Nov-70,Unprovoked,,,,Extensive injuries,N
3154,1970.10.24,24-Oct-70,Unprovoked,USA,Hawaii,Body surfing,Shoulder & arm bitten,N
3155,1970.10.00,Oct-70,Unprovoked,USA,Florida,Surfing,Bitten on right leg above the ankle,N
3156,1970.09.28,28-Sep-70,Unprovoked,MICRONESIA,Eastern Caroline Islands,Diving,Lacerations & punctures to right arm & shoulder ,N
3157,1970.09.13,13-Sep-70,Provoked,PALAU,Western Caroline Islands (North Pacific Ocean),Spearfishing,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",N
3158,1970.09.05,05-Sep-70,Unprovoked,USA,Florida,Floating on a raft,Laceration to left foot,N
3159,1970.09.02,02-Sep-70,Provoked,AUSTRALIA,New South Wales,,PROVOKED INCIDENT,N
3160,1970.09.00.c,Sep-70,Unprovoked,USA,South Carolina,Swimming,Foot lacerated,N
3161,1970.09.00.a,Sep-70,Unprovoked,USA,Florida,Scuba diving,Calf / knee injured?,N
3162,1970.08.02,02-Aug-70,Invalid,,Caribbean Sea,Sea Disaster Sinking of ferryboat Christina,"Sharks scavenged on bodies, but no record of them injuring survivors ",Y
3163,1970.07.05,05-Jul-70,Unprovoked,,,,Finger or toe severed,N
3164,1970.06.22,22-Jun-70,Provoked,USA,Florida,Fishing,Bitten on calf by hooked shark PROVOKED INCIDENT,N
3165,1970.06.15,15-Jun-70,Provoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,2 cm laceration on knee PROVOKED INCIDENT,N
3166,1970.06.13.b,13-Jun-70,Unprovoked,GRENADA,St. Andrew Parish,Wading,"FATAL, multiple injuries to both legs  ",Y
3167,1970.06.13.a,13-Jun-70,Unprovoked,GRENADA,St. Andrew Parish,Wading,"FATAL, body not recovered",Y
3168,1970.06.00,Jun-70,Sea Disaster,PHILIPPINES,200 nm southeast of Manila,Motor launch Baby Princesa capsized with 22 people on board,"2 people survived, 6 drowned & the others were killed by sharks",Y
3169,1970.04.04,04-Apr-70,Unprovoked,GRENADA,St. Andrew Parish,Swimming,"FATAL, body not recovered",Y
3170,1970.04.00.b,Apr-70,Provoked,,,Freediving,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,N
3171,1970.04.00.a,Apr-70,Unprovoked,SOLOMON ISLANDS,,Swimming,No details,UNKNOWN
3172,1970.03.31,31-Mar-70,Invalid,USA,Hawaii,Body surfing,"Swept out to sea,  body not recovered",Y
3173,1970.03.23,23-Mar-70,Unprovoked,USA,Florida,Wading,Foot & calf lacerated,N
3174,1970.02.05,05-Feb-70,Unprovoked,,,Wading,Lacerations to lower leg,N
3175,1970.01.23.d,23-Jan-70,Unprovoked,MOZAMBIQUE,Limpopo River,Swimming,"Hands severed, forearm severely lacerated",N
3176,1970.01.23.c,23-Jan-70,Unprovoked,MOZAMBIQUE,Limpopo River,Swimming,Leg severed at knee,N
3177,1970.01.23.b,23-Jan-70,Unprovoked,MOZAMBIQUE,Limpopo River,Swimming,"Arm severed, thigh bitten",N
3178,1970.01.23.a,23-Jan-70,Unprovoked,MOZAMBIQUE,Limpopo River,Swimming,Leg severed at knee,N
3179,1970.01.16,    16-Jan-1970,Sea Disaster,EGYPT,Red Sea,Air disaster,FATAL,Y
3180,1970.01.10,10-Jan-70,Unprovoked,MEXICO,Guerrero,Swimming,Leg bitten,N
3181,1970.01.09.R,Reported 09-Jan-1970,Unprovoked,ENGLAND,Devon,Attempted to return injured shark to the sea,Leg bitten,N
3182,1970.01.00, Jan-1970,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Freediving,Lacerations to back,N
3183,1970.00.00.h,1970s,Unprovoked,SRI LANKA,Western Province,Spearfishing / freediving,Swim fins badly torn by the shark's teeth,N
3184,1970.00.00.g,Late 1970s,Unprovoked,SPAIN,Canary Islands,Spearfishing,Minor injury,N
3185,1970.00.00.f,Ca. 1970,Boat,ITALY,Sardinia,Fishing on a boat,No injury,N
3186,1970.00.00.e,1970,Unprovoked,CROATIA,Zadar County,Spearfishing,No details,UNKNOWN
3187,1970.00.00.d,1970s,Unprovoked,IRAQ,Basrah,Washing cooking pans,Left hand severed,N
3188,1970.00.00.c,1970s,Unprovoked,IRAQ,Basrah,Washing clothes on stairs,Left foot severed,N
3189,1970.00.00.b,1970s,Unprovoked,IRAQ,Basrah,Swimming,"FATAL, left leg severed",Y
3190,1970.00.00.a,1970s,Unprovoked,IRAQ,Basrah,"Fishing, trying to catch the end of his fishing line",Left hand bitten,N
3191,1969.11.30,30-Nov-69,Unprovoked,AUSTRALIA,Western Australia,Swimming,Left thigh lacerated,N
3192,1969.11.11,11-Nov-69,Unprovoked,USA,Hawaii,Scuba diving for lobsters,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",N
3193,1969.11.05,05-Nov-69,Provoked,AUSTRALIA,New South Wales,,PROVOKED INCIDENT,N
3194,1969.10.14,14-Oct-69,Unprovoked,USA,Hawaii,Diving,No injury,N
3195,1969.09.06,06-Sep-69,Unprovoked,USA,California,Free diving for abalone,Leg & ankle severely bitten,N
3196,1969.08.29,29-Aug-69,Unprovoked,USA,Florida,Floating on his back,Laceration to right leg,N
3197,1969.08.22,22-Aug-69,Provoked,USA,Massachusetts,Fishing,Leg bitten by netted shark PROVOKED INCIDENT,N
3198,1969.08.02,02-Aug-69,Unprovoked,USA,Florida,Surfing,Lacerations to lower leg,N
3199,1969.08.01,02-Aug-69,Unprovoked,USA,Florida,Body surfing,Lacerations to right lower leg & left arm and hand,N
3200,1969.08.00,Aug-69,Unprovoked,,,,Am lacerated,N
3201,1969.07.27,27-Jul-69,Provoked,ENGLAND,,,Arm lacerated. Recorded as PROVOKED INCIDENT,N
3202,1969.07.22,22-Jul-69,Provoked,USA,Florida,,Scrape on head. Recorded as PROVOKED INCIDENT,N
3203,1969.07.20,20-Jul-69,Unprovoked,USA,California,Freediving for abalone (at surface),"Foot bitten, minor injury",N
3204,1969.06.27,27-Jun-69,Unprovoked,USA,Florida,Wading,No details,UNKNOWN
3205,1969.06.12,12-Jun-69,Unprovoked,JAMAICA,Clarendon,Diving,Multiple lacerations,N
3206,1969.06.00,Jun-69,Unprovoked,USA,Florida,Wading,No injury,N
3207,1969.05.25,25-May-69,Provoked,USA,Texas,Surf-fishing,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,N
3208,1969.05.24,24-May-69,Provoked,USA,Florida,Diving,Laceration to buttocks Recorded as PROVOKED INCIDENT,N
3209,1969.05.22,22-May-69,Unprovoked,DOMINICAN REPUBLIC,,Surfing,,UNKNOWN
3210,1969.05.14,14-May-69,Unprovoked,AUSTRALIA,Queensland,,Survived,N
3211,1969.04.22,22-Apr-69,Invalid,AUSTRALIA,New South Wales,Netting pilchards,No injury,N
3212,1969.04.19,19-Aug-69,Provoked,USA,Florida,Fishing,Laceration to foot from dead shark PROVOKED INCIDENT,N
3213,1969.03.25,25-Mar-69,Provoked,AUSTRALIA,New South Wales,,Foot lacerated. Recorded as PROVOKED INCIDENT,N
3214,1969.03.09,09-Mar-69,Unprovoked,USA,Hawaii,Surfing,Leg & surfboard bitten,N
3215,1969.02.17.R,Reported 17-Feb-1969,Provoked,AUSTRALIA,Tasmania,Fishing,Lacerations to hand from hooked shark PROVOKED INCIDENT,N
3216,1969.02.00,Feb-69,Invalid,AUSTRALIA,Queensland,Hard hat diving,No details,UNKNOWN
3217,1969.01.27,27-Jan-69,Unprovoked,AUSTRALIA,New South Wales,Freediving,Abrasions and lacerations to lower right leg,N
3218,1969.01.00,Jan-69,Unprovoked,AUSTRALIA,Victoria,,Minor injury ,N
3219,1969.00.00,Winter 1969,Provoked,BAHAMAS,Eleuthera,Sight-seeing,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",N
3220,1968.12.29,29-Dec-68,Invalid,SOUTH AFRICA,KwaZulu-Natal,Freediving,No injury,N
3221,1968.12.26,26-Dec-68,Provoked,AUSTRALIA,New South Wales,Feeding mullet to sharks,Laceration to finger by a captive shark PROVOKED INCIDENT,N
3222,1968.12.25,25-Dec-68,Unprovoked,NEW ZEALAND,South Island,Surfing,"Hit in face by shark, arm abraded, surfboard bitten",N
3223,1968.12.09,09-Dec-68,Unprovoked,AUSTRALIA,South Australia,,Survived,N
3224,1968.12.02,02-Dec-68,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,"No injury, left elbow & torso bumped by sharks",N
3225,1968.12.00,Dec-68,Invalid,SOUTH AFRICA,KwaZulu-Natal,,No injury,N
3226,1968.11.06,06-Nov-68,Boat,SOUTH AFRICA,KwaZulu-Natal,Fishing,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",N
3227,1968.11.02,02-Nov-68,Provoked,AUSTRALIA,Western Australia,,Abrasion on shoulder Recorded as PROVOKED INCIDENT,N
3228,1968.10.29,29-Oct-68,Provoked,BAHAMAS,,,Calf injured Recorded as PROVOKED INCIDENT,N
3229,1968.10.13,13-Oct-68,Unprovoked,USA,Florida,Spearfishing using Scuba,Swim fin bitten,N
3230,1968.10.10,10-Oct-68,Sea Disaster,PHILIPPINES,Moro Gulf,Sinking of the ferryboat Dumaguete ,Survived,N
3231,1968.09.22,22-Sep-68,Invalid,USA,Florida,Surfing,,UNKNOWN
3232,1968.09.15,15-Sep-68,Unprovoked,NEW ZEALAND,South Island,Spearfishing,"FATAL, left leg bitten, femoral artery severed  ",Y
3233,1968.08.24,24-Aug-68,Unprovoked,USA,Florida,Playing with a frisbee in the shallows,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",N
3234,1968.08.21,21-Aug-68,Unprovoked,USA,Florida,Standing,Leg & arm bitten,N
3235,1968.08.13,13-Aug-68,Unprovoked,FRENCH POLYNESIA,Society Islands,Swimming,Finger severed,N
3236,1968.08.11,11-Aug-68,Unprovoked,MALAYSIA,Johor,Leaving the water,Hand lacerated,N
3237,1968.08.08,08-Aug-68,Unprovoked,COLUMBIA,Magdalena Department,Dynamite fishing,Lacerations to head,N
3238,1968.07.27,27-Jul-68,Unprovoked,USA,California,Free diving,Major injury to torso,N
3239,1968.07.23,23-Jul-68,Unprovoked,USA,Florida,Wading,Abrasions on lower leg,N
3240,1968.07.16,16-Jul-68,Unprovoked,USA,South Carolina,Spearfishing using Scuba,Swimfin & knee bitten,N
3241,1968.07.10,10-Jul-68,Unprovoked,BAHAMAS,Great Exuma Island,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,"FATAL, taken by shark  ",Y
3242,1968.07.00,Jul-68,Invalid,MEXICO,Baja California,,No injury,N
3243,1968.06.25,25-Jun-68,Unprovoked,BAHAMAS,Eleuthera,Spearfishing,"Bumped shoulder, bit head",N
3244,1968.06.09,09-Jun-68,Unprovoked,USA,Florida,Clamming,Lacerations to lower right leg & andkle,N
3245,1968.06.00,Jun-68,Unprovoked,ENGLAND,,,Arm severely lacerated,N
3246,1968.05.18,18-May-68,Invalid,TANZANIA,Mafia Island,Schooner sank during a storm,"6 people rescued, 3 shark-scavenged bodies recovered, 14 people lost ",Y
3247,1968.05.00,May-68,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Standing,Lower leg severely lacerated,N
3248,1968.04.29,29-Apr-68,Invalid,USA,Florida,Wading,Foot severely injured,N
3249,1968.04.20,20-Apr-68,Unprovoked,USA,Florida,,"Buttock, both legs & arm bitten",N
3250,1968.04.15,15-Apr-68,Unprovoked,AUSTRALIA,New South Wales,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",Hand lacerated,N
3251,1968.04.11.R,Reported 11-Apr-1968,Unprovoked,PAPUA NEW GUINEA,Gulf Province,Swimming,FATAL Laceration to chest,Y
3252,1968.04.07,07-Apr-68,Provoked,AUSTRALIA,New South Wales,,Foot lacerated Recorded as PROVOKED INCIDENT,N
3253,1968.03.25,25-Mar-68,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Wading & pushing dinghy toward  the shallows,Left thigh lacerated,N
3254,1968.03.10,10-Mar-68,Unprovoked,USA,Florida,Surfing,Foot lacerated,N
3255,1968.03.00,Mar-68,Invalid,USA,Florida,Treading water,No injury,N
3256,1968.02.26,26-Feb-68,Unprovoked,USA,Florida,Surfing,Foot lacerated,N
3257,1968.02.20,20-Feb-68,Unprovoked,AUSTRALIA,Western Australia,Swimming,Thigh lacerated,N
3258,1968.02.18,18-Feb-68,Provoked,NEW ZEALAND,North Island,Picking up shark by the tail,Wrist bitten PROVOKED INCIDENT,N
3259,1968.02.04,04-Feb-68,Unprovoked,AUSTRALIA,South Australia,Spearfishing,"No injury, speargun bitten",N
3260,1968.02.02,02-Feb-68,Unprovoked,AUSTRALIA,New South Wales,,Survived,N
3261,1968.02.00,Feb-68,Unprovoked,MOZAMBIQUE,,Diving,No injury,N
3262,1968.01.17,17-Jan-68,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Swimming,FATAL,Y
3263,1968.00.00.c,1968,Unprovoked,COSTA RICA,Limón Province,Swimming after his canoe capsized,FATAL,Y
3264,1968.00.00.b,1968,Invalid,USA,Florida,Diving,Recovered,N
3265,1968.00.00.a,1968,Invalid,USA,Florida,Surfing,,UNKNOWN
3266,1967.12.30,30-Dec-67,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Right ankle & foot bitten,N
3267,1967.12.21.R,Reported 21-Dec-1967,Invalid,PAPUA NEW GUINEA,Central Province,Spearfishing,No injury,N
3268,1967.12.18,18-Dec-67,Unprovoked,FIJI,,,Arm lacerated,N
3269,1967.12.17,17-Dec-67,Unprovoked,AUSTRALIA,Victoria,Swimming,"FATAL, presumed taken by a shark, body not recovered",Y
3270,1967.12.14,14-Dec-67,Provoked,USA,,,"Head, shoulder, arm lacerated. Recorded as PROVOKED INCIDENT",N
3271,1967.11.30.b,30-Nov-67,Provoked,AUSTRALIA,New South Wales,Freediving,Recorded as PROVOKED INCIDENT,N
3272,1967.11.30.a,30-Nov-67,Unprovoked,AUSTRALIA,Queensland,,Arm lacerated,N
3273,1967.11.15,15-Nov-67,Provoked,FIJI,,Freediving,Hand lacerated by speared shark PROVOKED INCIDENT,N
3274,1967.11.04,04-Nov-67,Sea Disaster,PHILIPPINES,Rombion Province,Sinking of the M/V Mindoro during a typhoon,Passengers taken by sharks,Y
3275,1967.11.00,Nov-67,Invalid,SOUTH AFRICA,KwaZulu-Natal,,"Bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger sharks gut ",Y
3276,1967.10.26.R,Reported 26-Oct-1967,Unprovoked,MEXICO,Veracruz,Swimming,FATAL,Y
